baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000063727.3	1317.90436442799	-2.40818958451171	0.11676724664139	-20.6238449032512	1.67687641021136e-94	5.3883628648125e-92
ENSMUSG00000044646.15	498.783298906941	3.40460964106776	0.165385197121914	20.5859393725428	3.66857472028384e-94	1.15951017388643e-91
ENSMUSG00000041607.17	351.347398452845	5.07361664109804	0.247828305812125	20.4723049067054	3.80206102883504e-93	1.18231833283773e-90
ENSMUSG00000022346.16	3878.29035634496	2.54692855908169	0.125405869357805	20.3094844932245	1.06011146596731e-91	3.24427762918251e-89
ENSMUSG00000015468.14	370.877904431929	6.16372115317369	0.305999967390126	20.1428817321259	3.10720672580593e-90	9.36046026149037e-88
ENSMUSG00000056724.15	502.613873512709	3.25176055334182	0.161726749085677	20.1065103436857	6.47200392113214e-90	1.91969593229889e-87
ENSMUSG00000002799.6	356.71012816422	4.54373195921983	0.227632450196913	19.9608270055051	1.20698255662795e-88	3.52585207451315e-86
ENSMUSG00000020435.17	302.176067367343	4.76001178974724	0.238688461587799	19.942362349997	1.74620295905546e-88	5.02489448516257e-86
ENSMUSG00000038732.15	598.131958840208	3.00370972370943	0.150832520735739	19.9142049012891	3.06479054238795e-88	8.6895825966529e-86
ENSMUSG00000022665.15	12589.0562321558	-1.64809106829367	0.0829479544425839	-19.8689778351854	7.55250936859524e-88	2.11032435690603e-85
ENSMUSG00000021118.7	322.167031598357	5.1810577485335	0.261401536213372	19.8203033677063	1.98906080808425e-87	5.47844176855205e-85
ENSMUSG00000033987.16	605.405752035302	4.6820674204926	0.236314884537367	19.8128333289656	2.30727729285019e-87	6.26539524030304e-85
ENSMUSG00000025813.14	398.243873197532	3.15826534076998	0.160082663656919	19.7289654521155	1.21634077980215e-86	3.25709031035908e-84
ENSMUSG00000042377.8	281.669203516441	4.29649037232487	0.217973943676574	19.7110273817862	1.73410372151047e-86	4.57993421242765e-84
ENSMUSG00000041439.15	707.552009604583	2.91102870786282	0.147799068519033	19.6958528699249	2.34022483190841e-86	6.09723442691813e-84
ENSMUSG00000024479.3	598.115448818782	7.6302211407697	0.388261820987943	19.6522571324535	5.5298270485092e-86	1.42153420660343e-83
ENSMUSG00000024011.17	305.3643283234	5.1292475856171	0.264165963335506	19.4167617994854	5.56927722998643e-84	1.4128376972913e-81
ENSMUSG00000026380.10	279.841234113925	4.94737442269075	0.255293097946474	19.3791938069867	1.1564440388129e-83	2.89561572315749e-81
ENSMUSG00000033644.5	427.569589922545	6.97642409405704	0.360330483686779	19.3611820534212	1.64077032629665e-83	4.05564767833326e-81
ENSMUSG00000028128.13	1424.05373667231	-2.07776419718415	0.107800973878624	-19.2740763132953	8.86692019890639e-83	2.16397748651791e-80
ENSMUSG00000018920.11	294.004848940661	3.63110316570109	0.188429757282879	19.2703276704322	9.53305849755323e-83	2.29746709791033e-80
ENSMUSG00000057963.9	557.329025143708	3.17462974187259	0.165039945706842	19.2355234260174	1.86649463870238e-82	4.44271810298541e-80
ENSMUSG00000044017.16	351.469478354969	6.29773556182687	0.327872200185214	19.2078973400895	3.17882720968928e-82	7.47412056131822e-80
ENSMUSG00000022218.16	933.924180943752	9.04126086813811	0.471001546899197	19.1958199026321	4.01102644269971e-82	9.31717949581331e-80
ENSMUSG00000026110.15	320.211305165318	3.52689571385736	0.184287011018112	19.1380591305522	1.21720432082902e-81	2.79377372685518e-79
ENSMUSG00000024812.11	1484.57084162106	2.04516084278894	0.107120965501634	19.0920687954194	2.93896614530984e-81	6.66626673900867e-79
ENSMUSG00000044041.4	772.671600982049	8.62330284804782	0.452928371368532	19.0389990849819	8.1061956824512e-81	1.81729596229836e-78
ENSMUSG00000028434.12	785.953413615624	2.57566114034768	0.135870714798665	18.956705601824	3.88744088656021e-80	8.61492647044608e-78
ENSMUSG00000022055.7	338.071927089521	5.53100702078319	0.291871873015796	18.9501200085965	4.40577461258368e-80	9.65265165120606e-78
ENSMUSG00000023043.7	346.299575172669	6.01555808537819	0.31761768056275	18.9396197173908	5.37841623954921e-80	1.16512207975853e-77
ENSMUSG00000028179.12	422.046529815014	3.1006957902255	0.163847511992253	18.9242775341752	7.19694983121782e-80	1.54174658606533e-77
ENSMUSG00000084128.10	369.898937452886	4.12090793686333	0.21839056321052	18.8694414093842	2.03437488418074e-79	4.31019206230821e-77
ENSMUSG00000003526.12	274.63566812802	4.9674091991361	0.264136314060454	18.8062335041111	6.71420584969761e-79	1.40706400850185e-76
ENSMUSG00000040152.8	74289.4816148346	-1.85043459708801	0.0983980529052294	-18.80560176196	6.7946766099058e-79	1.40861682837617e-76
ENSMUSG00000041362.17	367.401400325652	3.44117312673488	0.183642373116485	18.7384483675352	2.40540156213334e-78	4.93363214020541e-76
ENSMUSG00000068876.16	508.100395638564	7.67984505270325	0.409971461759506	18.7326332904809	2.6831033900379e-78	5.44528772209797e-76
ENSMUSG00000022865.14	810.512544049448	3.48725404109428	0.186706894428611	18.677692924873	7.51997813134637e-78	1.51026227471206e-75
ENSMUSG00000030353.15	512.958337760961	2.72948116695918	0.14628404943697	18.6587750165834	1.07159663185433e-77	2.12993639815994e-75
ENSMUSG00000016028.11	303.869965457482	6.16776484019718	0.332625786554025	18.542653905744	9.34921717335e-77	1.83931537859375e-74
ENSMUSG00000030168.13	1959.17666358392	2.07458891549077	0.112003726355182	18.5224990542896	1.35976262206756e-76	2.64810336903661e-74
ENSMUSG00000031075.19	1623.26203388554	1.86530483902328	0.100787166142498	18.5073646815907	1.80098679634443e-76	3.47230254335206e-74
ENSMUSG00000028954.11	2143.72310791634	1.84086516079928	0.0996596513142437	18.4715191807637	3.50091920098046e-76	6.68294279157458e-74
ENSMUSG00000000308.14	289.662088908755	5.96566354387642	0.323759992862298	18.4261912385628	8.09880830816748e-76	1.53083357040656e-73
ENSMUSG00000003279.17	372.827956266606	6.79403591397729	0.371170788854119	18.3043389135009	7.64138042195531e-75	1.43034771393494e-72
ENSMUSG00000029832.16	259.472696643865	4.92484832425772	0.269272720106438	18.2894439596816	1.00434321281495e-74	1.86189780221848e-72
ENSMUSG00000025582.4	341.003950600208	3.08817155918705	0.169087113621349	18.2637901437165	1.60736169985068e-74	2.95142224505915e-72
ENSMUSG00000029154.13	587.444106758028	8.11269003059812	0.44434060068166	18.257818480131	1.79313701351147e-74	3.26147939816049e-72
ENSMUSG00000021678.9	277.158129514471	4.20540784912219	0.233195605494464	18.0338211785986	1.05726107743836e-72	1.90504612831885e-70
ENSMUSG00000020782.18	636.287208454197	3.35586203884946	0.187236608680271	17.9231084268355	7.78537950866861e-72	1.38983441599195e-69
ENSMUSG00000042216.13	287.387039816816	3.40114897645717	0.1904323054349	17.8601470411745	2.41003562184222e-71	4.26288869624935e-69
ENSMUSG00000025085.16	1169.15864263245	2.09689168090534	0.117580262897991	17.8337046475609	3.86912904058902e-71	6.78152799114148e-69
ENSMUSG00000092586.8	1896.10180338045	10.8031932111633	0.606502972861834	17.8122675313322	5.67629184285622e-71	9.8593609666908e-69
ENSMUSG00000017861.11	358.956270254916	3.37952187224011	0.190246849772976	17.7638782259624	1.34604271846552e-70	2.31711639392993e-68
ENSMUSG00000024965.9	280.672881718661	5.37460000129037	0.30263024692546	17.7596259986999	1.451988337019e-70	2.47737479094924e-68
ENSMUSG00000019996.17	243.38769660805	4.79782743920321	0.270477922780869	17.7383329104099	2.12135842941043e-70	3.5877009227222e-68
ENSMUSG00000085925.3	270.38296340164	3.33155316722297	0.188033281202728	17.7178909282079	3.05139926147607e-70	5.11573719663118e-68
ENSMUSG00000029449.11	282.730106091833	3.84624273000135	0.217291428942637	17.7008488034598	4.13034868780009e-70	6.8649243707574e-68
ENSMUSG00000071847.13	775.528767720979	2.21237035969148	0.125146555769073	17.6782360976347	6.16964017559471e-70	1.01667232979031e-67
ENSMUSG00000039457.4	258.792896280144	3.94280355706984	0.223124897117573	17.670836414962	7.03461176277347e-70	1.14938402361248e-67
ENSMUSG00000053030.11	574.21851402502	8.1968592878567	0.463950581372091	17.6675267085888	7.45964957574313e-70	1.20858860353216e-67
ENSMUSG00000022596.3	999.927552673874	2.44268671764038	0.138463884126442	17.6413274338728	1.18640907848149e-69	1.90616391942693e-67
ENSMUSG00000102752.1	235.163062388388	4.13030545854585	0.234361280934502	17.623668218899	1.621420160527e-69	2.58355212355046e-67
ENSMUSG00000021182.16	242.885085202724	4.03108141187434	0.2291667105678	17.5901700639095	2.92997001630155e-69	4.63031327166343e-67
ENSMUSG00000042367.12	443.691532266617	3.18688228232585	0.181626105497862	17.5463889047787	6.3384102959672e-69	9.93532930945103e-67
ENSMUSG00000003032.8	3635.91726901343	2.00531588076532	0.114453836483102	17.5207397356347	9.95229171406242e-69	1.54742084070261e-66
ENSMUSG00000026249.10	11401.7114543772	-1.87994435774715	0.10730557960859	-17.5195396605142	1.01644505157408e-68	1.55770780236408e-66
ENSMUSG00000031298.15	1548.49944928478	-1.91807371491589	0.109482514880519	-17.5194524624241	1.01800406171097e-68	1.55770780236408e-66
ENSMUSG00000023092.16	1351.8307686567	-1.71731221453358	0.0983948069594453	-17.4532809972521	3.25015353815985e-68	4.90695371576308e-66
ENSMUSG00000033491.13	526.946802794986	2.68893335974593	0.154065808209924	17.4531480475025	3.25772860797549e-68	4.90695371576308e-66
ENSMUSG00000036473.16	1196.30316527643	1.87298242829896	0.107766365876092	17.3800277393829	1.16896935972645e-67	1.74711079500201e-65
ENSMUSG00000022102.13	243.829527164044	5.80099236877109	0.334225695542649	17.3565122195426	1.7610169826212e-67	2.61172364807205e-65
ENSMUSG00000014846.12	429.723070262329	3.69033561268931	0.213658220479176	17.2721442891966	7.62556384851316e-67	1.12229672518575e-64
ENSMUSG00000003283.15	281.039154164445	3.57908371204221	0.207632849063933	17.2375600882891	1.38771363169082e-66	2.02690294083325e-64
ENSMUSG00000044737.6	344.032147301265	7.02724829324733	0.408185635342416	17.2158147783725	2.02083565615202e-66	2.92945198876774e-64
ENSMUSG00000027377.2	303.370517998823	6.83249269181853	0.397740041581004	17.1782872668781	3.86144451353807e-66	5.55586941947866e-64
ENSMUSG00000026981.15	3907.10379917615	-1.66696703429299	0.0970526990092958	-17.1758956866653	4.02393401380377e-66	5.7467739100842e-64
ENSMUSG00000030093.7	295.47392631771	6.78774758500114	0.397184977022482	17.0896382735466	1.77270038090922e-65	2.51306348117131e-63
ENSMUSG00000024529.14	27990.9683873647	-1.55268181169086	0.0911620695536459	-17.0321035853311	4.74668011523862e-65	6.6799994614453e-63
ENSMUSG00000028111.4	1138.03843904936	-1.71036869471469	0.100722126028789	-16.9810622764835	1.13414546746941e-64	1.5845162762906e-62
ENSMUSG00000027220.2	751.816406997896	-2.20411750455805	0.129899749152694	-16.9678349568416	1.42074284387025e-64	1.97064187264881e-62
ENSMUSG00000052180.15	233.260971418594	4.72776796204787	0.279449028434875	16.918176414951	3.30506343837037e-64	4.55154450655577e-62
ENSMUSG00000025481.12	195.399328310767	4.51129309640102	0.267665864895143	16.8541965490007	9.77271565944499e-64	1.33629757385886e-61
ENSMUSG00000002384.2	199.528517370203	4.31136392855433	0.256160588437089	16.8307074669809	1.45354878155572e-63	1.97355074002777e-61
ENSMUSG00000033361.13	467.577563217766	2.37718130717065	0.141744622609603	16.7708747140125	3.98597558347637e-63	5.3740985489108e-61
ENSMUSG00000027456.8	231.33327094677	5.93591311362328	0.354335983981575	16.7522164893418	5.45552114349022e-63	7.30433664211746e-61
ENSMUSG00000047501.3	1175.58631858051	10.1139140273655	0.604268173129974	16.7374594213323	6.99089072038912e-63	9.29547400614499e-61
ENSMUSG00000087166.9	1220.60849803988	10.1734847679198	0.608286795535296	16.7248160614223	8.64426543417245e-63	1.14151669569072e-60
ENSMUSG00000038235.4	951.19251731591	2.18476194702576	0.130981321719201	16.6799503803258	1.83371161180042e-62	2.40503128404845e-60
ENSMUSG00000032420.8	1084.20201135204	2.47128262801888	0.148461973175176	16.6458964215902	3.24076643602908e-62	4.22175519504329e-60
